species_id,genus,species,species_name,taxa
AS,Ammodramus,savannarum,Ammodramus savannarum,Bird
AB,Amphispiza,bilineata,Amphispiza bilineata,Bird
CM,Calamospiza,melanocorys,Calamospiza melanocorys,Bird
CQ,Callipepla,squamata,Callipepla squamata,Bird
CB,Campylorhynchus,brunneicapillus,Campylorhynchus brunneicapillus,Bird
PC,Pipilo,chlorurus,Pipilo chlorurus,Bird
PU,Pipilo,fuscus,Pipilo fuscus,Bird
UP,Pipilo,sp.,Pipilo sp.,Bird
PG,Pooecetes,gramineus,Pooecetes gramineus,Bird
US,Sparrow,sp.,Sparrow sp.,Bird
ZL,Zonotrichia,leucophrys,Zonotrichia leucophrys,Bird
SA,Sylvilagus,audubonii,Sylvilagus audubonii,Rabbit
CT,Cnemidophorus,tigris,Cnemidophorus tigris,Reptile
CU,Cnemidophorus,uniparens,Cnemidophorus uniparens,Reptile
CS,Crotalus,scutalatus,Crotalus scutalatus,Reptile
CV,Crotalus,viridis,Crotalus viridis,Reptile
UL,Lizard,sp.,Lizard sp.,Reptile
SC,Sceloporus,clarki,Sceloporus clarki,Reptile
SU,Sceloporus,undulatus,Sceloporus undulatus,Reptile
AH,Ammospermophilus,harrisi,Ammospermophilus harrisi,Rodent
BA,Baiomys,taylori,Baiomys taylori,Rodent
PB,Chaetodipus,baileyi,Chaetodipus baileyi,Rodent
PI,Chaetodipus,intermedius,Chaetodipus intermedius,Rodent
PP,Chaetodipus,penicillatus,Chaetodipus penicillatus,Rodent
PX,Chaetodipus,sp.,Chaetodipus sp.,Rodent
DM,Dipodomys,merriami,Dipodomys merriami,Rodent
DO,Dipodomys,ordii,Dipodomys ordii,Rodent
DX,Dipodomys,sp.,Dipodomys sp.,Rodent
DS,Dipodomys,spectabilis,Dipodomys spectabilis,Rodent
NL,Neotoma,albigula,Neotoma albigula,Rodent
OL,Onychomys,leucogaster,Onychomys leucogaster,Rodent
OX,Onychomys,sp.,Onychomys sp.,Rodent
OT,Onychomys,torridus,Onychomys torridus,Rodent
PF,Perognathus,flavus,Perognathus flavus,Rodent
PH,Perognathus,hispidus,Perognathus hispidus,Rodent
PE,Peromyscus,eremicus,Peromyscus eremicus,Rodent
PL,Peromyscus,leucopus,Peromyscus leucopus,Rodent
PM,Peromyscus,maniculatus,Peromyscus maniculatus,Rodent
RF,Reithrodontomys,fulvescens,Reithrodontomys fulvescens,Rodent
RM,Reithrodontomys,megalotis,Reithrodontomys megalotis,Rodent
RO,Reithrodontomys,montanus,Reithrodontomys montanus,Rodent
RX,Reithrodontomys,sp.,Reithrodontomys sp.,Rodent
UR,Rodent,sp.,Rodent sp.,Rodent
SF,Sigmodon,fulviventer,Sigmodon fulviventer,Rodent
SH,Sigmodon,hispidus,Sigmodon hispidus,Rodent
SO,Sigmodon,ochrognathus,Sigmodon ochrognathus,Rodent
SS,Spermophilus,spilosoma,Spermophilus spilosoma,Rodent
ST,Spermophilus,tereticaudus,Spermophilus tereticaudus,Rodent
